servidor,anio,AR,BB,BO,BQ,BR,BZ,CL,CO,CR,CU,CW,DM,DO,EC,GF,GP,GT,GY,HN,HT,JM,KY,LC,MQ,MX,NI,PA,PE,PR,PY,SR,SV,TT,UY,VC,VE,VI
D,2022,47.6375292207792,0.0,0.0,0.0,123.654729761905,0.0,21.8930762711864,112.989153061225,19.7637363636364,105.7573125,0.0,0.0,22.6179464285714,109.890712121212,0.0,0.0,48.3015762711864,0.0,26.3362083333333,0.0,0.0,0.0,0.0,0.0,77.4815963855422,0.0,130.836303571429,62.6715147058824,32.0400454545455,4.519125,0.0,0.0,76.8177222222222,59.9001422018349,0.0,75.7568133333333,29.9896578947368
E,2012,198.577207317073,0.0,0.0,144.358090909091,209.466162790698,104.252470588235,175.846742753623,146.754703125,153.845708333333,0.0,113.272,0.0,112.235785714286,0.0,0.0,0.0,92.9416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.427071428571,0.0,0.0,0.0,231.812237226277,0.0,0.0,0.0
E,2013,181.223415294118,0.0,0.0,67.0542976190476,157.523365789474,72.1719358974359,173.756691834452,82.2179333333333,111.190235576923,0.0,81.1084235294118,0.0,80.6856585365854,123.119666666667,0.0,0.0,165.8355,0.0,0.0,0.0,124.29525,58.87446875,0.0,0.0,66.0280658436213,0.0,0.0,105.8725,0.0,236.925805555556,172.507,0.0,0.0,202.248794759825,0.0,80.7570384615385,0.0
E,2014,98.4882071874999,0.0,0.0,58.5230952380952,167.184663886315,63.8263333333333,168.198330488383,112.220284057971,77.5268970588236,183.042494623656,137.102556818182,0.0,100.020018315018,138.287358108108,203.36934,120.286839285714,90.2335422222222,0.0,79.86725,0.0,61.5291967213115,58.4324555555556,0.0,153.636592592593,94.0929696428572,114.329361111111,0.0,179.237896296296,44.9063333333333,264.760875,99.345,46.6179117647059,123.770962121212,45.1677280701754,0.0,103.672185185185,4.2773625
E,2015,115.265272595641,41.25275,89.7429024390244,0.0,165.437055676856,66.9398846153846,154.380809610706,91.8928315508022,50.5867894736842,123.593672413793,105.725775590551,0.0,83.5639865967365,122.069955223881,161.843445652174,101.842309523809,64.2247379310345,101.498464285714,84.2818195488722,0.0,61.9502172131147,86.2133068181818,77.775125,86.0719729729729,69.2988280346821,158.6033,133.354625,116.567497979798,84.3410894495413,209.260928571429,88.9694230769231,82.8698447204969,145.680340909091,46.9171478599222,0.0,85.9887137681159,16.9774365079365
E,2016,84.2683348817568,54.0197777777778,109.389605633803,0.0,148.640578204625,65.9210833333333,152.494277639752,85.3966707746479,44.5424227748691,131.33975,75.28370703125,0.0,68.9967777777777,95.8073771551724,128.554910714286,93.8508076923077,57.4155198675497,81.5448863636364,67.216554054054,55.4290714285714,51.4596326530612,48.8139142857143,85.7935759493671,79.38284,58.7166674816626,48.6669722222222,55.7,99.4727156488549,99.7038571428571,182.721225,86.2396534653465,62.641047008547,105.832,29.4582695729537,39.9959666666667,100.204969111969,84.6916346153846
E,2017,77.940923524343,56.765,108.069442804428,0.0,134.282231227652,42.82295,57.0954609375,85.3338737024222,58.7713662131519,71.3568095238095,62.483679245283,0.0,60.1475401106501,104.881087423313,94.9618837209302,88.7420121951219,65.6832525252525,0.0,73.1123190954774,0.0,51.7414782608696,33.1905326086956,74.554625,47.17428125,58.002763326226,44.6542333333333,69.0762967741935,81.6789339622642,91.5367215568862,135.861453296703,86.7045904761905,49.2521220930232,56.6955416666667,34.8839017991005,69.791775,122.599906976744,88.4313970588235
E,2018,31.4772608377983,55.4770860927152,88.8324596182085,0.0,35.6754916545719,55.991696,26.9733290924513,58.4549200680272,66.1876862170088,48.7686511627907,50.3172389937107,59.258,53.0712146371463,67.469,88.9983035714286,101.877322916667,70.1929600938967,0.0,62.1033701298701,50.8238529411765,46.6012162162162,66.1366666666667,70.2115731707317,44.15775,50.2937638121548,67.858625,48.8793768115942,45.3162886597938,90.4970299401198,37.4241881918819,103.462939655172,45.549,64.7488382352941,25.0818327674024,66.8098815789474,98.2328746736293,76.8209326923077
E,2019,35.0640766649458,44.0236699346405,65.2033145386766,0.0,29.6112106382979,47.2316345885635,19.8264271496816,50.6233866341992,39.9530356083086,54.254625,34.224231060606,57.5550416666667,49.0296353677621,61.7771534246576,83.222625,67.7937818181818,48.290225388601,0.0,66.4855846153846,2.53728260869565,0.0,65.4261022727273,52.3647916666667,37.2897173913043,46.4590234375,56.81325,38.4667747524753,52.088032,91.8051428571429,59.0657299107143,86.7875,30.878,55.9063795180723,28.0353005093379,62.40375,65.3074706959707,49.2174333333334
E,2020,29.5600704980843,41.6460107526882,44.8150069930071,0.0,30.276523015873,48.5515636363636,21.592557079646,47.45771875,25.2033067226891,49.83915625,11.6840795454545,52.3484677419355,43.5205859375001,36.2472653721683,114.090558823529,67.0763661971831,45.9880201149426,73.7056666666667,31.7923362068965,2.1235,0.0,30.9474285714286,67.2654230769231,41.2076029411765,50.6644529058116,44.105,46.0511793478261,52.6551573275862,102.953639175258,49.1657528089888,81.9552272727273,31.7262777777778,50.1574479166667,70.0919156626506,0.0,75.8269564102564,102.229427083333
