ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
11644,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
11664,Techtel LMDS Comunicaciones Interactivas S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.39,0.0
11694,Universidad Simon Bolivar,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11706,Terra Networks Brasil S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,0.83,0.0
11750,Interdotnet Argentina S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.31,0.0
11751,INSTITUTO CYBER DE ENSINO E PESQUISA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11802,Centro de Informatica e Automacao do Estado de SC,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
11815,Cooperativa Telefonica de V.G.G. Ltda.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.97,0.97
11816,SERVICIO DI TELECOMUNICACION DI ARUBA SETAR N.V.,AW,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.01,0.01
11830,Instituto Costarricense de Electricidad y Telecom.,CR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.95,0.99
11835,NOVA FIBRA TELECOM S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.86,0.0
11844,Empresa Catarinense De Tec em Telecomunicacoes Ltd,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11888,Television Internacional,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.0
11921,SECRELNET INFORMATICA LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11947,Cablenett Limited,TT,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11960,EMPRESA DE TELECOMUNICACIONES DE CUBA S.A. IXP CUBA,CU,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11993,BANCO DO BRASIL S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
12066,ALTICE DOMINICANA S.A.,DO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.95
12127,Telefonica Moviles El Salvador S.A. de C.V.,SV,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
12136,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
12140,Horizons Telecomunicacoes e Tecnologia S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
12150,COTELCAM,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
12252,America Movil Peru S.A.C.,PE,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,1.0,0.0
13316,SES Sistemas Electronicos S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.18,0.0
13357,Ampernet Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
13381,CMET SACI,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
13424,Intercity,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.91,0.0
